step = 	1	 obj = 	5685.6539	 error = 	37.3815
step = 	2	 obj = 	5507.0135	 error = 	1.3286
step = 	3	 obj = 	5388.0553	 error = 	1.7359
step = 	4	 obj = 	5206.7841	 error = 	4.4688
step = 	5	 obj = 	4833.2435	 error = 	9.4998
step = 	6	 obj = 	4242.1393	 error = 	6.3655
step = 	7	 obj = 	3660.1219	 error = 	2.5505
step = 	8	 obj = 	3215.0581	 error = 	2.1497
step = 	9	 obj = 	2864.149	 error = 	6.3732
step = 	10	 obj = 	2572.5028	 error = 	1.2601
step = 	11	 obj = 	2331.8584	 error = 	1.0505
step = 	12	 obj = 	2145.9011	 error = 	1.2923
step = 	13	 obj = 	2007.3016	 error = 	0.58409
step = 	14	 obj = 	1897.2151	 error = 	0.46785
step = 	15	 obj = 	1804.6403	 error = 	0.51483
step = 	16	 obj = 	1724.5766	 error = 	0.56897
step = 	17	 obj = 	1654.5754	 error = 	0.38229
step = 	18	 obj = 	1592.6686	 error = 	0.21275
step = 	19	 obj = 	1537.0518	 error = 	0.10511
step = 	20	 obj = 	1486.922	 error = 	0.086846
step = 	21	 obj = 	1441.8015	 error = 	0.070901
step = 	22	 obj = 	1401.0562	 error = 	0.092787
step = 	23	 obj = 	1363.8373	 error = 	0.10536
step = 	24	 obj = 	1329.4307	 error = 	0.077848
step = 	25	 obj = 	1297.4748	 error = 	0.081868
step = 	26	 obj = 	1267.718	 error = 	0.10746
step = 	27	 obj = 	1239.7374	 error = 	0.13824
step = 	28	 obj = 	1213.2582	 error = 	0.18655
step = 	29	 obj = 	1188.1537	 error = 	0.19957
step = 	30	 obj = 	1165.166	 error = 	0.37987
step = 	31	 obj = 	1144.8275	 error = 	0.064026
step = 	32	 obj = 	1126.3994	 error = 	0.10646
step = 	33	 obj = 	1109.714	 error = 	0.088501
step = 	34	 obj = 	1094.5732	 error = 	0.037713
step = 	35	 obj = 	1080.7066	 error = 	0.024154
step = 	36	 obj = 	1067.9183	 error = 	0.022283
step = 	37	 obj = 	1056.0582	 error = 	0.02066
step = 	38	 obj = 	1044.999	 error = 	0.019251
step = 	39	 obj = 	1034.6348	 error = 	0.018014
step = 	40	 obj = 	1024.87	 error = 	0.016913
step = 	41	 obj = 	1015.6014	 error = 	0.015938
step = 	42	 obj = 	1006.7272	 error = 	0.015078
step = 	43	 obj = 	998.1614	 error = 	0.0143
step = 	44	 obj = 	989.8331	 error = 	0.013572
step = 	45	 obj = 	981.7684	 error = 	0.01288
step = 	46	 obj = 	974.14	 error = 	0.012458
step = 	47	 obj = 	967.0413	 error = 	0.011533
step = 	48	 obj = 	960.4466	 error = 	0.010878
step = 	49	 obj = 	954.3125	 error = 	0.01026
step = 	50	 obj = 	948.6049	 error = 	0.0096829
step = 	51	 obj = 	943.2922	 error = 	0.009144
step = 	52	 obj = 	938.3343	 error = 	0.0086383
step = 	53	 obj = 	933.6916	 error = 	0.0081616
step = 	54	 obj = 	929.3314	 error = 	0.0077098
step = 	55	 obj = 	925.223	 error = 	0.0072797
step = 	56	 obj = 	921.3372	 error = 	0.0068685
step = 	57	 obj = 	917.6475	 error = 	0.0064742
step = 	58	 obj = 	914.1295	 error = 	0.0060952
step = 	59	 obj = 	910.76	 error = 	0.0057306
step = 	60	 obj = 	907.5203	 error = 	0.0053798
step = 	61	 obj = 	904.4038	 error = 	0.0050425
step = 	62	 obj = 	901.4172	 error = 	0.0047189
step = 	63	 obj = 	898.5695	 error = 	0.0044092
step = 	64	 obj = 	895.8611	 error = 	0.0041138
step = 	65	 obj = 	893.2826	 error = 	0.0038328
step = 	66	 obj = 	890.818	 error = 	0.0035666
step = 	67	 obj = 	888.4503	 error = 	0.003315
step = 	68	 obj = 	886.1743	 error = 	0.0030778
step = 	69	 obj = 	883.9999	 error = 	0.0028547
step = 	70	 obj = 	881.9147	 error = 	0.0026454
step = 	71	 obj = 	879.9158	 error = 	0.0024498
step = 	72	 obj = 	878.0161	 error = 	0.0022672
step = 	73	 obj = 	876.1977	 error = 	0.0020969
step = 	74	 obj = 	874.3935	 error = 	0.0019382
step = 	75	 obj = 	872.5482	 error = 	0.0061274
step = 	76	 obj = 	870.803	 error = 	0.011696
step = 	77	 obj = 	869.1826	 error = 	0.0035988
step = 	78	 obj = 	867.4963	 error = 	0.0040727
step = 	79	 obj = 	865.6904	 error = 	0.01459
step = 	80	 obj = 	863.688	 error = 	0.0067542
step = 	81	 obj = 	861.5573	 error = 	0.015504
step = 	82	 obj = 	859.8747	 error = 	0.010399
step = 	83	 obj = 	858.4668	 error = 	0.0025936
step = 	84	 obj = 	857.1586	 error = 	0.0011423
step = 	85	 obj = 	855.9024	 error = 	0.0010891
step = 	86	 obj = 	854.6829	 error = 	0.0010378
step = 	87	 obj = 	853.4942	 error = 	0.00098822
step = 	88	 obj = 	852.3332	 error = 	0.00095497
step = 	89	 obj = 	851.1977	 error = 	0.00094867
step = 	90	 obj = 	850.0863	 error = 	0.00093751
step = 	91	 obj = 	848.9976	 error = 	0.00092184
step = 	92	 obj = 	847.9301	 error = 	0.00090222
step = 	93	 obj = 	846.8818	 error = 	0.00087932
step = 	94	 obj = 	845.8522	 error = 	0.00085398
step = 	95	 obj = 	844.8432	 error = 	0.0008271
step = 	96	 obj = 	843.857	 error = 	0.00079959
step = 	97	 obj = 	842.8946	 error = 	0.00077232
step = 	98	 obj = 	841.9557	 error = 	0.00076211
step = 	99	 obj = 	841.0381	 error = 	0.00072159
step = 	100	 obj = 	840.1391	 error = 	0.00083106
step = 	101	 obj = 	839.2599	 error = 	0.0011187
step = 	102	 obj = 	838.4018	 error = 	0.00086117
step = 	103	 obj = 	837.5634	 error = 	0.00075445
step = 	104	 obj = 	836.7413	 error = 	0.00086703
step = 	105	 obj = 	835.9092	 error = 	0.00064912
